Row ID,Site ID,Location,Enforced Speed Limit,Month End Date,1-5 Over Speed Limit,6-10 Over Speed Limit,11-15 Over Speed Limit,16-20 Over Speed Limit,21-50 Over Speed Limit,51+ Over Speed Limit,Total Speeding Tickets,Total Red Light Tickets,Latitude,Longitude,New Georeferenced Column
2020-03-31-ED2101-60,ED2101,SB Calgary Tr @ Whitemud Dr,60,3/31/2020 0:00,0,0,840,99,28,0,967,53,53.481441,-113.495304,"(53.481441, -113.495304)"
2020-03-31-ED2097-70,ED2097,NB Mark Messier Trail @ Campbell Road,70,3/31/2020 0:00,0,0,888,160,69,0,1117,13,53.61142,-113.590805,"(53.61142, -113.590805)"
2020-03-31-ED2102-60,ED2102,SB 170 St @ 118 Ave,60,3/31/2020 0:00,0,0,1657,311,82,0,2050,5,53.570827,-113.61542,"(53.570827, -113.61542)"
2020-03-31-ED005-60,ED005,NB 170 St @ 95 Ave,60,3/31/2020 0:00,0,0,348,58,14,0,420,13,53.5313852,-113.6151193,"(53.53138521, -113.6151193)"
2020-03-31-ED2079-60,ED2079,SB Parsons Rd @ Ellerslie Rd,60,3/31/2020 0:00,0,0,6,2,0,0,8,1,53.425615,-113.479951,"(53.425615, -113.479951)"
2020-03-31-ED048-70,ED048,SB Manning Dr @ 137 Ave,70,3/31/2020 0:00,0,0,8,1,1,0,10,3,53.5995429,-113.4212717,"(53.59954286, -113.4212717)"
2020-03-31-ED1068-60,ED1068,SB 170 St @ 69 Ave,60,3/31/2020 0:00,0,0,180,32,15,0,227,9,53.5049067,-113.6157943,"(53.5049067, -113.6157943)"
2020-03-31-ED2043-60,ED2043,WB 137 Ave @ 113A St,60,3/31/2020 0:00,0,0,170,23,4,0,197,4,53.5996168,-113.5160351,"(53.59961683, -113.5160351)"
2020-03-31-ED022-50,ED022,WB Stony Plain Rd @ 156 St,50,3/31/2020 0:00,0,0,61,8,2,0,71,2,53.5412949,-113.5897747,"(53.54129492, -113.5897747)"
2020-03-31-ED2094-60,ED2094,NB Rabbit Hill Rd @ 23 Ave,60,3/31/2020 0:00,0,0,128,16,6,0,150,11,53.45365,-113.5654,"(53.45365, -113.5654)"
2020-03-31-ED1070-70,ED1070,EB Yellowhead Tr @ 66 St,70,3/31/2020 0:00,0,0,132,34,5,1,172,6,53.57828,-113.4434288,"(53.57828, -113.4434288)"
2020-03-31-ED2058-50,ED2058,NB Rossdale Rd @ 97 Ave,50,3/31/2020 0:00,0,0,538,84,13,0,635,5,53.533603,-113.497371,"(53.533603, -113.497371)"
2020-03-31-ED020-70,ED020,WB Yellowhead Tr @ 107 St,70,3/31/2020 0:00,0,0,914,174,38,2,1128,28,53.5814538,-113.504608,"(53.58145379, -113.504608)"
2020-03-31-ED041-60,ED041,WB 137 Ave @ 127 St,60,3/31/2020 0:00,0,0,61,14,0,0,75,6,53.599591,-113.5406916,"(53.59959096, -113.5406916)"
2020-03-31-ED015-60,ED015,WB 137 Ave @ 50 St,60,3/31/2020 0:00,0,0,26,9,1,0,36,12,53.5971075,-113.4125877,"(53.59710754, -113.4125877)"
2020-03-31-ED2063-60,ED2063,NB 111 St @ 23 ave,60,3/31/2020 0:00,0,0,72,20,4,0,96,6,53.453378,-113.516161,"(53.453378, -113.516161)"
2020-03-31-ED1055-60,ED1055,NB 111 St @ Whitemud Drive EB,60,3/31/2020 0:00,0,0,156,39,9,0,204,38,53.482055,-113.515857,"(53.482055, -113.515857)"
2020-03-31-ED2098-70,ED2098,SB Mark Messier Trail @ Campbell Road,70,3/31/2020 0:00,0,0,584,133,54,1,772,8,53.61178,-113.591667,"(53.61178, -113.591667)"
2019-10-31-ED045-60,ED045,SB 97 St @ 137 Ave,60,10/31/2019 0:00,0,0,64,8,5,0,77,14,53.5999761,-113.492144,"(53.59997614, -113.492144)"
2019-10-31-ED047-60,ED047,NB Wayne Gretzky Dr @ 118 Ave,60,10/31/2019 0:00,0,0,62,9,7,0,78,23,53.5697956,-113.4521125,"(53.56979565, -113.4521125)"
2019-10-31-ED048-70,ED048,SB Manning Dr @ 137 Ave,70,10/31/2019 0:00,0,0,11,1,0,0,12,12,53.5995429,-113.4212717,"(53.59954286, -113.4212717)"
2019-10-31-ED1031-60,ED1031,EB 63 Ave @ 99 St,60,10/31/2019 0:00,0,0,56,8,6,0,70,15,53.4998065,-113.4869484,"(53.49980654, -113.4869484)"
2019-10-31-ED1046-60,ED1046,SB 97 St @ 122 Ave,60,10/31/2019 0:00,0,0,683,141,45,1,870,26,53.5770675,-113.4922687,"(53.57706746, -113.4922687)"
2019-10-31-ED1050-70,ED1050,NB Manning Dr @ 50 St,70,10/31/2019 0:00,0,0,44,18,8,0,70,12,53.6013717,-113.4170665,"(53.60137171, -113.4170665)"
2019-10-31-ED1051-60,ED1051,NB Gateway Blvd @ Whitemud Drive EB,60,10/31/2019 0:00,0,0,1262,199,50,1,1512,122,53.4799345,-113.4922439,"(53.4799345, -113.4922439)"
2019-10-31-ED1052-60,ED1052,WB Whitemud Drive  @ Gateway Blvd,60,10/31/2019 0:00,0,0,90,18,6,0,114,18,53.4809868,-113.4921173,"(53.4809868, -113.4921173)"
2019-10-31-ED1053-60,ED1053,EB Whitemud Drive @ Calgary Trail,60,10/31/2019 0:00,0,0,194,35,15,0,244,14,53.4796813,-113.4960327,"(53.4796813, -113.4960327)"
2019-10-31-ED1054-60,ED1054,SB 111 St @ Whitemud Drive WB,60,10/31/2019 0:00,0,0,168,35,18,0,221,57,53.483705,-113.517561,"(53.483705, -113.517561)"
2020-02-29-ED2060-60,ED2060,WB 23 Ave @ Terwillegar Dr NB,60,2/29/2020 0:00,0,0,77,11,2,0,90,106,53.457268,-113.587836,"(53.457268, -113.587836)"
2020-02-29-ED001-60,ED001,EB 34 Ave @ 91 St,60,2/29/2020 0:00,0,0,3,0,0,0,3,2,53.4652261,-113.4674525,"(53.46522609, -113.4674525)"
2020-02-29-ED2087-50,ED2087,SB 127 St @ 126 Ave,50,2/29/2020 0:00,0,0,2548,469,126,0,3143,52,53.582637,-113.541188,"(53.582637, -113.541188)"
2020-02-29-ED008-70,ED008,WB Yellowhead Tr @ 127 St,70,2/29/2020 0:00,0,0,32,4,1,0,37,11,53.5807388,-113.5406622,"(53.58073876, -113.5406622)"
2020-02-29-ED014-60,ED014,SB 50 St @ 137 Ave,60,2/29/2020 0:00,0,0,4,0,0,0,4,5,53.5974957,-113.4134868,"(53.5974957, -113.4134868)"
2020-02-29-ED2009-70,ED2009,EB Yellowhead Tr @ 107 St,70,2/29/2020 0:00,0,0,578,77,16,1,672,3,53.5812925,-113.5061022,"(53.58129246, -113.5061022)"
2020-02-29-ED1054-60,ED1054,SB 111 St @ Whitemud Drive WB,60,2/29/2020 0:00,0,0,67,14,6,0,87,83,53.483705,-113.517561,"(53.483705, -113.517561)"
2020-02-29-ED032-60,ED032,NB 170 St @ 100 Ave,60,2/29/2020 0:00,0,0,115,18,8,0,141,91,53.538895,-113.6150049,"(53.53889499, -113.6150049)"
2020-02-29-ED1046-60,ED1046,SB 97 St @ 122 Ave,60,2/29/2020 0:00,0,0,399,72,22,0,493,71,53.5770675,-113.4922687,"(53.57706746, -113.4922687)"
2020-02-29-ED033-60,ED033,SB 170 St @ 100 Ave,60,2/29/2020 0:00,0,0,10,4,2,0,16,70,53.5395668,-113.6169067,"(53.53956682, -113.6169067)"
2020-02-29-ED1104-70,ED1104,EB Fox Dr @ Fort Edmonton Park Rd,70,2/29/2020 0:00,0,0,1496,342,94,1,1933,48,53.503222,-113.562803,"(53.503222, -113.562803)"
2020-02-29-ED018-60,ED018,WB Stony Plain Rd @ 170 St,60,2/29/2020 0:00,0,0,46,9,5,0,60,34,53.5412872,-113.6159543,"(53.54128722, -113.6159543)"
2020-02-29-ED024-50,ED024,SB 156 St @ Stony Plain Rd,50,2/29/2020 0:00,0,0,23,3,1,0,27,54,53.5417164,-113.5903227,"(53.54171636, -113.5903227)"
2020-02-29-ED1066-60,ED1066,SB 34 St @ 34 Ave,60,2/29/2020 0:00,0,0,140,27,7,0,174,25,53.463967,-113.393999,"(53.463967, -113.393999)"
2020-02-29-ED2092-60,ED2092,NB 50 St @ 101 Ave,60,2/29/2020 0:00,0,0,12,4,1,0,17,13,53.540797,-113.418411,"(53.540797, -113.418411)"
2020-02-29-ED2025-60,ED2025,EB 137 Ave @ Manning Dr,60,2/29/2020 0:00,0,0,97,15,3,0,115,41,53.5991139,-113.4227458,"(53.59911391, -113.4227458)"
2020-02-29-ED2077-70,ED2077,SB Manning Dr @ 153 Ave,70,2/29/2020 0:00,0,0,190,22,7,0,219,29,53.614882,-113.403378,"(53.614882, -113.403378)"
2020-02-29-ED038-60,ED038,WB 87 Ave @ 178 St,60,2/29/2020 0:00,0,0,0,2,0,0,2,4,53.5212846,-113.6298593,"(53.52128465, -113.6298593)"
2020-02-29-ED2083-70,ED2083,NB 97 St @ 144 Ave,70,2/29/2020 0:00,0,0,120,23,10,0,153,48,53.606472,-113.491714,"(53.606472, -113.491714)"
2020-02-29-ED2039-60,ED2039,WB 111 Ave @ 149 St,60,2/29/2020 0:00,0,0,38,9,1,0,48,21,53.5589564,-113.5773778,"(53.55895644, -113.5773778)"
2020-02-29-ED2088-60,ED2088,WB 167 Ave @ 127 St,60,2/29/2020 0:00,0,0,31,7,2,0,40,10,53.628841,-113.540383,"(53.628841, -113.540383)"
2020-02-29-ED002-70,ED002,NB 91 St @ 34 Ave,70,2/29/2020 0:00,0,0,34,7,1,0,42,21,53.4648935,-113.4663185,"(53.46489352, -113.4663185)"
2019-10-31-ED001-60,ED001,EB 34 Ave @ 91 St,60,10/31/2019 0:00,0,0,19,6,3,0,28,2,53.4652261,-113.4674525,"(53.46522609, -113.4674525)"
2019-10-31-ED002-70,ED002,NB 91 St @ 34 Ave,70,10/31/2019 0:00,0,0,112,36,10,0,158,21,53.4648935,-113.4663185,"(53.46489352, -113.4663185)"
2019-10-31-ED003-60,ED003,WB 34 Ave @ 91 St,60,10/31/2019 0:00,0,0,90,13,3,0,106,0,53.4654011,-113.4657331,"(53.46540114, -113.4657331)"
2019-10-31-ED004-70,ED004,SB 91 St @ 34 Ave,70,10/31/2019 0:00,0,0,7,2,0,0,9,5,53.4656955,-113.4668631,"(53.46569548, -113.4668631)"
2019-10-31-ED005-60,ED005,NB 170 St @ 95 Ave,60,10/31/2019 0:00,0,0,295,44,11,0,350,15,53.5313852,-113.6151193,"(53.53138521, -113.6151193)"
2019-10-31-ED007-70,ED007,EB Yellowhead Tr @ 149 St,70,10/31/2019 0:00,0,0,196,56,15,0,267,1,53.5812052,-113.578715,"(53.58120518, -113.578715)"
2019-10-31-ED008-70,ED008,WB Yellowhead Tr @ 127 St,70,10/31/2019 0:00,0,0,49,6,2,0,57,1,53.5807388,-113.5406622,"(53.58073876, -113.5406622)"
2019-10-31-ED010-50,ED010,NB 127 St @ Yellowhead Tr,50,10/31/2019 0:00,0,0,131,15,4,0,150,4,53.5802602,-113.5411938,"(53.58026015, -113.5411938)"
2019-10-31-ED011-50,ED011,SB 109 St @ 104 Ave,50,10/31/2019 0:00,0,0,262,29,9,0,300,80,53.5464622,-113.5085364,"(53.54646216, -113.5085364)"
2019-10-31-ED012-50,ED012,WB 104 Ave @ 109 St,50,10/31/2019 0:00,0,0,410,61,13,1,485,21,53.5462241,-113.5078498,"(53.54622408, -113.5078498)"
2019-10-31-ED013-50,ED013,EB 104 Ave @ 109 St,50,10/31/2019 0:00,0,0,99,26,5,0,130,15,53.5462201,-113.5090615,"(53.54622011, -113.5090615)"
2019-10-31-ED014-60,ED014,SB 50 St @ 137 Ave,60,10/31/2019 0:00,0,0,24,3,0,0,27,2,53.5974957,-113.4134868,"(53.5974957, -113.4134868)"
2019-10-31-ED015-60,ED015,WB 137 Ave @ 50 St,60,10/31/2019 0:00,0,0,50,8,7,0,65,9,53.5971075,-113.4125877,"(53.59710754, -113.4125877)"
2019-10-31-ED016-60,ED016,NB 82 St @ 153 Ave,60,10/31/2019 0:00,0,0,117,20,8,0,145,7,53.6155172,-113.4673315,"(53.61551724, -113.4673315)"
2019-10-31-ED017-60,ED017,NB 50 St @ 23 Ave,60,10/31/2019 0:00,0,0,26,14,9,0,49,24,53.4543275,-113.4198041,"(53.45432753, -113.4198041)"
2019-10-31-ED018-60,ED018,WB Stony Plain Rd @ 170 St,60,10/31/2019 0:00,0,0,67,20,2,0,89,18,53.5412872,-113.6159543,"(53.54128722, -113.6159543)"
2019-10-31-ED019-60,ED019,SB 170 St @ Stony Plain Rd,60,10/31/2019 0:00,0,0,34,5,3,0,42,25,53.5417674,-113.6168696,"(53.54176738, -113.6168696)"
2019-10-31-ED020-70,ED020,WB Yellowhead Tr @ 107 St,70,10/31/2019 0:00,0,0,693,129,29,0,851,14,53.5814538,-113.504608,"(53.58145379, -113.504608)"
2019-10-31-ED021-70,ED021,EB Yellowhead Tr @ 127 St,70,10/31/2019 0:00,0,0,231,38,14,1,284,3,53.5806233,-113.5419714,"(53.5806233, -113.5419714)"
2019-10-31-ED022-50,ED022,WB Stony Plain Rd @ 156 St,50,10/31/2019 0:00,0,0,217,36,10,0,263,9,53.5412949,-113.5897747,"(53.54129492, -113.5897747)"
2019-10-31-ED023-50,ED023,NB 156 St @ Stony Plain Rd,50,10/31/2019 0:00,0,0,62,12,2,0,76,64,53.5409125,-113.5903288,"(53.54091252, -113.5903288)"
2019-10-31-ED024-50,ED024,SB 156 St @ Stony Plain Rd,50,10/31/2019 0:00,0,0,60,9,2,0,71,40,53.5417164,-113.5903227,"(53.54171636, -113.5903227)"
2019-10-31-ED026-60,ED026,SB 50 St @ 23 Ave,60,10/31/2019 0:00,0,0,13,4,4,0,21,10,53.4551334,-113.4203198,"(53.4551334, -113.4203198)"
2019-10-31-ED027-60,ED027,WB 23 Ave @ 91 St,60,10/31/2019 0:00,0,0,33,2,3,0,38,13,53.4519087,-113.4657289,"(53.45190871, -113.4657289)"
2019-10-31-ED028-60,ED028,WB 23 Ave @ Parsons Rd,60,10/31/2019 0:00,0,0,86,13,4,1,104,9,53.4529528,-113.478569,"(53.45295283, -113.478569)"
2019-10-31-ED030-60,ED030,SB Calgary Tr @ 51 Ave,60,10/31/2019 0:00,0,0,8,3,2,0,13,4,53.4884411,-113.4949133,"(53.48844109, -113.4949133)"
2019-10-31-ED032-60,ED032,NB 170 St @ 100 Ave,60,10/31/2019 0:00,0,0,266,46,5,0,317,47,53.538895,-113.6150049,"(53.53889499, -113.6150049)"
2019-10-31-ED033-60,ED033,SB 170 St @ 100 Ave,60,10/31/2019 0:00,0,0,45,5,6,0,56,49,53.5395668,-113.6169067,"(53.53956682, -113.6169067)"
2019-10-31-ED034-60,ED034,NB 170 St @ Stony Plain Rd,60,10/31/2019 0:00,0,0,174,33,12,0,219,26,53.5409959,-113.6149232,"(53.54099587, -113.6149232)"
2019-10-31-ED035-60,ED035,NB 170 St @ 87 Ave,60,10/31/2019 0:00,0,0,50,13,5,0,68,8,53.5190777,-113.6152341,"(53.51907771, -113.6152341)"
2019-10-31-ED036-60,ED036,SB 170 St @ 87 Ave,60,10/31/2019 0:00,0,0,126,21,3,0,150,10,53.5200311,-113.6154822,"(53.52003106, -113.6154822)"
2019-10-31-ED038-60,ED038,WB 87 Ave @ 178 St,60,10/31/2019 0:00,0,0,27,4,4,0,35,6,53.5212846,-113.6298593,"(53.52128465, -113.6298593)"
2019-10-31-ED040-60,ED040,EB 137 Ave @ 127 St,60,10/31/2019 0:00,0,0,46,12,4,0,62,3,53.5993545,-113.5420203,"(53.59935449, -113.5420203)"
2019-10-31-ED041-60,ED041,WB 137 Ave @ 127 St,60,10/31/2019 0:00,0,0,76,11,3,0,90,12,53.599591,-113.5406916,"(53.59959096, -113.5406916)"
2019-10-31-ED043-60,ED043,WB 137 Ave @ 113A St,60,10/31/2019 0:00,0,0,68,22,5,0,95,10,53.5996168,-113.5160351,"(53.59961683, -113.5160351)"
2019-10-31-ED044-60,ED044,EB 137 Ave @ 97 St,60,10/31/2019 0:00,0,0,11,3,2,0,16,5,53.5994288,-113.4928734,"(53.59942879, -113.4928734)"
2020-02-29-ED2072-60,ED2072,WB Whitemud Drive @ 111 St NB,60,2/29/2020 0:00,0,0,50,11,7,0,68,26,53.48319,-113.515325,"(53.48319, -113.515325)"
2020-02-29-ED010-50,ED010,NB 127 St @ Yellowhead Tr,50,2/29/2020 0:00,0,0,40,3,2,0,45,6,53.5802602,-113.5411938,"(53.58026015, -113.5411938)"
2020-02-29-ED2037-60,ED2037,NB 178 St @ 87 Ave,60,2/29/2020 0:00,0,0,66,4,4,0,74,6,53.5208806,-113.6304399,"(53.52088061, -113.6304399)"
2020-02-29-ED2084-50,ED2084,NB 95 St @ 103A Ave,50,2/29/2020 0:00,0,0,90,15,1,0,106,15,53.547669,-113.480138,"(53.547669, -113.480138)"
2020-02-29-ED036-60,ED036,SB 170 St @ 87 Ave,60,2/29/2020 0:00,0,0,55,13,4,0,72,18,53.5200311,-113.6154822,"(53.52003106, -113.6154822)"
2020-02-29-ED1050-70,ED1050,NB Manning Dr @ 50 St,70,2/29/2020 0:00,0,0,14,2,4,0,20,24,53.6013717,-113.4170665,"(53.60137171, -113.4170665)"
2020-02-29-ED2061-60,ED2061,EB Windermere Blvd @ Terwillegar Dr SB,60,2/29/2020 0:00,0,0,30,4,3,0,37,61,53.437701,-113.614591,"(53.437701, -113.614591)"
2020-02-29-ED026-60,ED026,SB 50 St @ 23 Ave,60,2/29/2020 0:00,0,0,5,1,0,0,6,22,53.4551334,-113.4203198,"(53.4551334, -113.4203198)"
2020-02-29-ED045-60,ED045,SB 97 St @ 137 Ave,60,2/29/2020 0:00,0,0,23,3,1,0,27,16,53.5999761,-113.492144,"(53.59997614, -113.492144)"
2020-02-29-ED2091-60,ED2091,SB 50 St @ Ellerslie Rd,60,2/29/2020 0:00,0,0,716,120,33,0,869,10,53.425224,-113.418183,"(53.425224, -113.418183)"
2020-02-29-ED2056-60,ED2056,NB Gateway Blvd @ 63 Ave,60,2/29/2020 0:00,0,0,89,8,3,0,100,2,53.499319,-113.493421,"(53.499319, -113.493421)"
2020-02-29-ED2096-80,ED2096,SB 97 St @ 176 Ave,80,2/29/2020 0:00,0,0,127,36,6,0,169,2,53.638807,-113.49202,"(53.638807, -113.49202)"
2020-02-29-ED013-50,ED013,EB 104 Ave @ 109 St,50,2/29/2020 0:00,0,0,36,8,2,0,46,25,53.5462201,-113.5090615,"(53.54622011, -113.5090615)"
2020-02-29-ED1105-70,ED1105,WB Fox Dr @ Fort Edmonton Park Rd,70,2/29/2020 0:00,0,0,416,109,53,1,579,117,53.503264,-113.561979,"(53.503264, -113.561979)"
2020-02-29-ED2076-60,ED2076,NB Groat Rd @ 118 Ave,60,2/29/2020 0:00,0,0,2,0,1,0,3,2,53.569774,-113.549196,"(53.569774, -113.549196)"
2020-02-29-ED2095-60,ED2095,WB 23 Ave @ Rabbit Hill Rd,60,2/29/2020 0:00,0,0,44,5,2,0,51,4,53.454147,-113.564903,"(53.454147, -113.564903)"
2020-02-29-ED017-60,ED017,NB 50 St @ 23 Ave,60,2/29/2020 0:00,0,0,7,8,2,1,18,42,53.4543275,-113.4198041,"(53.45432753, -113.4198041)"
2020-02-29-ED1053-60,ED1053,EB Whitemud Drive @ Calgary Trail,60,2/29/2020 0:00,0,0,92,26,1,0,119,10,53.4796813,-113.4960327,"(53.4796813, -113.4960327)"
2020-02-29-ED2071-50,ED2071,NB 82 St @ 112 Ave,50,2/29/2020 0:00,0,0,392,58,5,1,456,164,53.560908,-113.467294,"(53.560908, -113.467294)"
2020-02-29-ED003-60,ED003,WB 34 Ave @ 91 St,60,2/29/2020 0:00,0,0,25,3,1,0,29,10,53.4654011,-113.4657331,"(53.46540114, -113.4657331)"
2020-02-29-ED044-60,ED044,EB 137 Ave @ 97 St,60,2/29/2020 0:00,0,0,6,2,0,0,8,6,53.5994288,-113.4928734,"(53.59942879, -113.4928734)"
2020-02-29-ED047-60,ED047,NB Wayne Gretzky Dr @ 118 Ave,60,2/29/2020 0:00,0,0,58,7,3,0,68,23,53.5697956,-113.4521125,"(53.56979565, -113.4521125)"
2020-02-29-ED1065-60,ED1065,EB 34 Ave @ 50 St,60,2/29/2020 0:00,0,0,1,0,0,0,1,7,53.464976,-113.420777,"(53.464976, -113.420777)"
2020-02-29-ED2049-70,ED2049,NB 97 St @ 167 Ave,70,2/29/2020 0:00,0,0,50,11,4,0,65,23,53.6283968,-113.4916933,"(53.62839682, -113.4916933)"
2020-02-29-ED021-70,ED021,EB Yellowhead Tr @ 127 St,70,2/29/2020 0:00,0,0,89,18,8,0,115,11,53.5806233,-113.5419714,"(53.5806233, -113.5419714)"
2020-02-29-ED027-60,ED027,WB 23 Ave @ 91 St,60,2/29/2020 0:00,0,0,4,1,1,0,6,23,53.4519087,-113.4657289,"(53.45190871, -113.4657289)"
2020-02-29-ED1064-60,ED1064,EB 23 Ave @ 66 St,60,2/29/2020 0:00,0,0,64,11,3,0,78,13,53.453433,-113.435067,"(53.453433, -113.435067)"
2020-02-29-ED2030-60,ED2030,SB Calgary Tr @ 51 Ave,60,2/29/2020 0:00,0,0,245,38,18,0,301,32,53.4884411,-113.4949133,"(53.48844109, -113.4949133)"
2020-02-29-ED035-60,ED035,NB 170 St @ 87 Ave,60,2/29/2020 0:00,0,0,48,12,2,0,62,21,53.5190777,-113.6152341,"(53.51907771, -113.6152341)"
2020-02-29-ED2062-60,ED2062,SB 111 St @ 23 Ave,60,2/29/2020 0:00,0,0,49,7,3,0,59,11,53.454486,-113.516605,"(53.454486, -113.516605)"
2020-02-29-ED016-60,ED016,NB 82 St @ 153 Ave,60,2/29/2020 0:00,0,0,48,15,5,0,68,32,53.6155172,-113.4673315,"(53.61551724, -113.4673315)"
2020-02-29-ED2004-70,ED2004,SB 91 St @ 34 Ave,70,2/29/2020 0:00,0,0,30,3,0,0,33,63,53.4656955,-113.4668631,"(53.46569548, -113.4668631)"
2020-02-29-ED1069-50,ED1069,WB 118 Ave @ Wayne Gretzky Dr SB,50,2/29/2020 0:00,0,0,102,8,9,0,119,10,53.5704186,-113.4531748,"(53.5704186, -113.4531748)"
2020-02-29-ED2085-50,ED2085,SB 97 St @ 111 Ave,50,2/29/2020 0:00,0,0,277,37,5,0,319,31,53.559371,-113.491877,"(53.559371, -113.491877)"
2020-02-29-ED2080-60,ED2080,SB 75 St @ 98 Ave,60,2/29/2020 0:00,0,0,183,33,5,0,221,25,53.537853,-113.443157,"(53.537853, -113.443157)"
2020-02-29-ED2075-60,ED2075,NB 97 St @ 132 Ave,60,2/29/2020 0:00,0,0,67,15,4,0,86,22,53.591633,-113.491987,"(53.591633, -113.491987)"
2020-02-29-ED011-50,ED011,SB 109 St @ 104 Ave,50,2/29/2020 0:00,0,0,133,24,6,0,163,95,53.5464622,-113.5085364,"(53.54646216, -113.5085364)"
2019-10-31-ED2087-50,ED2087,SB 127 St @ 126 Ave,50,10/31/2019 0:00,0,0,5050,1011,331,0,6392,43,53.582637,-113.541188,"(53.582637, -113.541188)"
2019-11-30-ED2009-70,ED2009,EB Yellowhead Tr @ 107 St,70,11/30/2019 0:00,0,0,461,61,13,0,535,1,53.5812925,-113.5061022,"(53.58129246, -113.5061022)"
2019-08-31-ED2058-50,ED2058,NB Rossdale Rd @ 97 Ave,50,8/31/2019 0:00,0,0,755,154,55,0,964,11,53.533603,-113.497371,"(53.533603, -113.497371)"
2019-09-30-ED2006-60,ED2006,SB 170 St @ 95 Ave,60,9/30/2019 0:00,0,0,500,81,19,0,600,20,53.5320087,-113.6153542,"(53.5320087, -113.6153542)"
2019-06-30-ED2080-60,ED2080,SB 75 St @ 98 Ave,60,6/30/2019 0:00,0,0,403,64,12,0,479,5,53.537853,-113.443157,"(53.537853, -113.443157)"
2019-11-30-ED2088-60,ED2088,WB 167 Ave @ 127 St,60,11/30/2019 0:00,0,0,30,8,1,0,39,17,53.628841,-113.540383,"(53.628841, -113.540383)"
2019-08-31-ED2080-60,ED2080,SB 75 St @ 98 Ave,60,8/31/2019 0:00,0,0,280,51,18,0,349,11,53.537853,-113.443157,"(53.537853, -113.443157)"
2019-09-30-ED2042-60,ED2042,SB Castledowns Rd @ 137 Ave,60,9/30/2019 0:00,0,0,30,5,4,0,39,2,53.5999213,-113.5167956,"(53.59992131, -113.5167956)"
2019-08-31-ED2085-50,ED2085,SB 97 St @ 111 Ave,50,8/31/2019 0:00,0,0,565,104,32,0,701,37,53.559371,-113.491877,"(53.559371, -113.491877)"
